Year,Month,point_id,NDVI,NDMI,NDWI,EVI,LST,Rainfall,Rainfall_lag1,CHS_raw,CHS
2021,6,33,0.660847902,0.059449866,-0.583022058,0.30270974,20.57872045,78.56929016,53.96144613,0.101949096,0.627236483
2021,7,33,0.328232467,0.027085796,-0.298863798,0.173751113,17.65592721,366.8272743,78.56929016,-1.576306167,0.459882265
2021,8,33,0.276896834,0.073065378,-0.231776744,-0.058554089,17.92544506,134.5198631,366.8272743,-2.074859809,0.410166911
2021,9,33,-0.00164263,0.115724154,0.011056211,0.010615348,17.72666667,258.3312807,134.5198631,-3.078718793,0.31006293
2022,6,33,0.694656491,0.120703876,-0.61259079,0.303467637,22.04320584,96.55129802,258.3312807,0.563812833,0.67329315
2022,7,33,-0.081392303,0.219596937,0.102990031,0.640444811,17.99980065,306.1569681,96.55129802,-1.754484585,0.442114462
2022,8,33,0.777777791,0.087755807,-0.645330548,0.316449857,17.78530598,228.6402864,306.1569681,0.850559296,0.701887268
2022,9,33,0.017000377,0.136687547,-0.037379578,0.081551287,17.8177121,99.66963291,228.6402864,-2.671542901,0.35066617
2023,6,33,-0.052783798,0.183642894,0.073290057,1.183230788,19.72993741,184.6344852,99.66963291,-0.590550856,0.558180964
2023,7,33,0.783177376,0.145927757,-0.673399746,0.33062143,20.90472415,418.1946068,184.6344852,1.076396445,0.724407561
2023,8,33,0.277798116,0.201694772,-0.203717783,0.094901948,17.35054242,227.7191868,418.1946068,-1.31510331,0.485929197
2023,9,33,0.759301424,0.053556714,-0.666307092,0.358356434,18.9809388,187.1229286,227.7191868,0.766131718,0.69346822
2024,6,33,0.717372477,0.210275173,-0.595899045,0.449419264,22.47736439,50.2276355,187.1229286,1.13440489,0.730192115
2024,7,33,0.033641476,0.061598774,-0.017987696,-0.113390463,19.05223227,216.4988089,50.2276355,-3.464143394,0.271628709
2024,8,33,0.70328337,0.155030236,-0.611196339,0.387034889,20.5563491,274.4971254,216.4988089,0.905624217,0.707378296
2024,9,33,0.755507171,0.136545926,-0.635536492,0.35096536,19.18595967,183.7964846,274.4971254,0.971190443,0.713916506
2025,6,33,0.045525901,0.158484727,0.019466711,0.354042322,18.23093185,89.82650678,183.7964846,-2.106477239,0.407014048
2025,8,33,0.508684874,0.140712947,-0.375565618,0.107713325,17.00662494,484.1982512,89.82650678,-0.730621401,0.544213246
2025,9,33,0.447470903,0.037611801,-0.413582265,0.204731801,17.7547427,197.737937,484.1982512,-0.724080207,0.544865528
2019,7,34,0.289246053,0.02275968,-0.293806821,0.231892026,25.56283703,331.1720629,74.81812596,-1.668283468,0.450710366
2019,8,34,0.41812402,0.080121092,-0.363914371,0.355277378,25.41671745,269.3810959,331.1720629,-0.609829493,0.556258514
2019,9,34,0.471953988,0.058754131,-0.449968576,0.260024785,24.33317867,171.9603281,269.3810959,-0.614344431,0.555808289
2020,6,34,0.433804274,0.036063042,-0.48875463,0.216836008,28.43948753,88.5688957,171.9603281,-0.905229213,0.5268015
2020,7,34,0.101679929,0.10957215,-0.089160837,0.253220302,26.12200139,187.0542248,88.5688957,-2.251480384,0.392554455
2020,8,34,0.359621435,0.048604034,-0.353566259,0.367293905,23.80050554,434.8659449,187.0542248,-0.876782368,0.529638196
2020,9,34,0.497702897,0.029747149,-0.50180769,0.263960763,27.49162742,59.51648406,434.8659449,-0.482485768,0.568957125
2021,6,34,0.416156918,0.107737996,-0.411393732,0.341443998,29.31988227,74.67647552,59.51648406,-0.697470933,0.547518983
2021,7,34,0.406488448,0.077874415,-0.438147724,0.284371821,24.81540859,416.8226891,74.67647552,-0.746237632,0.542656008
2021,8,34,0.097887516,0.115221947,-0.054901458,-0.064136792,22.85493075,174.3029537,416.8226891,-2.777488104,0.340101403
2021,9,34,0.442675978,0.086237423,-0.368732125,0.307473104,22.95004848,290.9339933,174.3029537,-0.692458013,0.548018867
2022,6,34,0.437357634,0.042329136,-0.474729776,0.27640186,30.77506233,99.35852218,290.9339933,-0.731645103,0.544111163
2022,7,34,0.292916387,-0.032011468,-0.280657381,0.199495828,24.47815328,373.3507595,99.35852218,-1.907859923,0.426820001
2022,8,34,0.332398325,-0.015288935,-0.391941398,0.190101869,23.83029778,233.2138491,373.3507595,-1.372505907,0.480205058
2022,9,34,0.359821767,-0.009199134,-0.413612574,0.19536903,24.59132271,112.8636266,233.2138491,-1.350599551,0.482389541
2023,6,34,0.114951603,0.136339486,-0.167236999,-0.034100848,27.31787396,197.2547035,112.8636266,-2.579234003,0.359871137
2023,7,34,0.39958936,-0.008008001,-0.414142758,0.25196235,23.76264081,438.9502983,197.2547035,-1.081395644,0.509234331
2023,8,34,0.270536661,0.096578635,-0.25965187,-0.158857799,22.05460526,255.1501222,438.9502983,-2.148200332,0.402853456
2023,9,34,0.504176438,0.038755864,-0.518893361,0.277280859,26.39945983,192.7791233,255.1501222,-0.440503277,0.573143584
2024,6,34,0.408814937,0.027647994,-0.448364377,0.265030092,32.5925,45.38053703,192.7791233,-1.024861975,0.514871821
2024,7,34,0.213005528,0.038753632,-0.216773346,0.092714012,24.98842105,243.0042171,45.38053703,-2.298259173,0.387889713
2024,8,34,0.501232803,0.027235478,-0.442301184,0.297226168,23.90059557,334.9360569,243.0042171,-0.570458395,0.560184568
2024,9,34,0.402104765,0.068015069,-0.355625898,0.302547259,25.29914127,194.6122767,334.9360569,-0.831770719,0.53412672
2025,6,34,0.500710845,0.092783503,-0.506708562,0.326734439,25.95273777,79.43190183,194.6122767,-0.24269641,0.59286872
2025,8,34,0.651881695,0.078543223,-0.554712236,0.39807937,24.98861034,538.2801971,79.43190183,0.340970286,0.651071477
2025,9,34,0.542565882,0.023598973,-0.501757681,0.288382576,23.39565097,195.7000332,538.2801971,-0.208635632,0.596265232
2019,7,35,0.285210341,-0.038601886,-0.409122139,0.16962964,33.36679325,562.1739388,81.98327067,-1.793413376,0.438232515
2019,8,35,0.553704262,0.215145797,-0.544056773,0.690848214,30.13531646,330.1446285,562.1739388,1.396865576,0.756364476
2019,9,35,0.198278278,0.093684278,-0.177096158,0.32649184,29.19003516,252.813096,330.1446285,-1.599667835,0.457552659
2020,6,35,0.386953235,-0.014821436,-0.489525139,0.210664362,34.73481013,101.0187191,252.813096,-1.214639884,0.495947326
2020,7,35,0.29880479,0.084678091,-0.247130841,0.398089172,30.24507032,355.4435992,101.0187191,-1.223377475,0.495076021
2020,8,35,0.689022601,0.197674677,-0.605456412,0.570768754,28.88216128,655.0400677,355.4435992,1.465358317,0.763194515
2020,9,35,0.307564884,-0.008622503,-0.41078344,0.189600363,31.57116737,67.90235639,655.0400677,-1.315325624,0.485907028
2021,6,35,0.404081643,-0.015384615,-0.483957946,0.251109702,34.99324895,95.78641129,67.90235639,-1.222986425,0.495115016
2021,7,35,0.456957281,0.063030519,-0.448450834,0.347610704,29.65518987,671.0753212,95.78641129,-0.519343903,0.565281662
2021,8,35,0.527007878,0.125319511,-0.442807406,0.512688576,29.36498594,216.9960251,671.0753212,0.462840309,0.663224254
2021,9,35,0.455134422,0.02833667,-0.499453366,0.294822573,28.66796765,330.4501619,216.9960251,-0.614198384,0.555822852
2022,6,35,0.243027896,-0.065604337,-0.344522148,0.137495774,37.37248945,106.9270474,330.4501619,-2.184638365,0.399219885
2022,7,35,0.451095849,0.025901943,-0.474734038,0.253641848,31.05770745,607.6091051,106.9270474,-0.82380826,0.53492073
2022,8,35,0.444784433,0.084116049,-0.488252163,0.279643232,29.55715893,409.2657166,607.6091051,-0.262694186,0.590874558
2022,9,35,0.745285332,0.252372593,-0.663787067,0.603267119,28.95497187,169.1322799,409.2657166,1.915530157,0.808085276
2023,6,35,0.391152829,0.15090929,-0.329372585,0.492756268,33.91936006,194.9159822,169.1322799,-0.434446588,0.573747552
2023,7,35,0.280949384,0.106611118,-0.252204388,0.334831139,27.97971402,670.552063,194.9159822,-1.166735421,0.500724319
2023,8,35,0.546623051,0.089918986,-0.531836331,0.37267287,28.69559072,427.7334089,670.552063,0.339916053,0.650966349
2023,9,35,0.342887849,0.05553107,-0.484356433,0.234555985,29.7031083,287.1907787,427.7334089,-0.826411098,0.534661177
2024,6,35,0.385925591,0.030106002,-0.447596431,0.298453978,38.34305907,53.56745696,287.1907787,-1.006449051,0.516707942
2024,7,35,0.666016281,0.269299895,-0.518636346,0.622651913,30.62238631,482.8013515,53.56745696,1.31832344,0.748532319
2024,8,35,0.769551337,0.253995836,-0.66582042,0.586006049,29.38233005,422.6374102,482.8013515,2.031455094,0.819645214
2024,9,35,0.442146599,0.097068213,-0.481867731,0.300560866,29.32627989,205.4289862,422.6374102,-0.347348885,0.582432862
2025,6,35,0.466086954,0.067257479,-0.481546581,0.353737007,34.45215659,139.786929,205.4289862,-0.491191264,0.56808902
2025,8,35,0.515043199,0.048443619,-0.535628021,0.307279448,28.14995546,824.3314543,139.786929,-0.247279148,0.592411733
2025,9,35,0.236954167,0.007101188,-0.369055629,0.13851447,27.95705345,185.3899956,824.3314543,-1.453396705,0.472138695
2019,7,36,0.449284643,0.02445933,-0.487028629,0.276481558,31.29628134,540.4921913,74.05155063,-0.790031236,0.538288947
2019,8,36,0.830139577,0.291047633,-0.693520129,0.602056655,28.70667827,309.7183151,540.4921913,2.409585226,0.857352036
2019,9,36,0.0170864,0.181585461,-0.004514287,0.155475535,26.04251393,243.1814175,309.7183151,-2.46102217,0.371659122
2020,6,36,0.348021805,-0.056894328,-0.457387179,0.15244656,32.09594708,95.44095409,243.1814175,-1.617664639,0.455758033
2020,7,36,0.305882365,0.135262594,-0.248269901,0.39905549,28.39504875,317.5187715,95.44095409,-1.022426808,0.515114654
2020,8,36,0.509388804,0.164433971,-0.424328685,0.472029664,27.19481198,676.5705185,317.5187715,0.319721871,0.648952602
2020,9,36,0.590987861,0.090026692,-0.551640749,0.349242114,28.88839833,73.41378744,676.5705185,0.362911604,0.653259446
2021,6,36,0.310924381,-0.007630259,-0.405405402,0.193629193,32.77068942,83.89933014,73.41378744,-1.683232909,0.44921962
2021,7,36,0.379130095,0.050831206,-0.412776709,0.25847259,28.67170845,659.3041821,83.89933014,-1.007373372,0.51661577
2021,8,36,0.249356225,0.19152309,-0.170479536,0.896969433,27.12884401,220.4099731,659.3041821,0.302623217,0.647247539
2021,9,36,0.704070568,0.191743448,-0.627925158,0.399245321,26.9849234,360.7329979,220.4099731,1.034895909,0.720269162
2022,6,36,0.299631387,-0.026351746,-0.417953104,0.189818521,34.99803621,105.1794171,360.7329979,-1.593422388,0.45817545
2022,7,36,0.753541052,0.211350292,-0.645401359,0.509578544,28.828013,580.0190668,105.1794171,1.440710153,0.76073662
2022,8,36,0.903932214,0.346096218,-0.746059179,0.707936859,27.26417131,390.9218674,580.0190668,3.169873985,0.933167398
2022,9,36,0.528417826,0.132458523,-0.5064345,0.341169256,26.66332869,165.7198668,390.9218674,0.111559006,0.628194775
2023,6,36,0.338221133,0.020818772,-0.328523606,0.326388947,30.28539694,199.8714104,165.7198668,-1.306760075,0.486761177
